#A	h
247.096	1.0425
245.029	1.0475
243.081	1.0525
241.509	1.0575
239.903	1.0625
238.969	1.0675
237.283	1.0725
234.194	1.07737
232.34	1.0825
231.062	1.08737
228.952	1.09237
226.521	1.09737
224.355	1.10237
221.261	1.10737
219.241	1.11237
217.303	1.11738
215.389	1.12237
214.065	1.12738
212.448	1.13237
210.887	1.13738
209.02	1.14237
207.815	1.14738
205.521	1.15237
203.471	1.15737
201.223	1.16237
197.204	1.16737
195.159	1.17237
192.858	1.17737
190.566	1.18237
188.939	1.18737
187.693	1.19237
186.498	1.19737
185.446	1.20237
183.444	1.20737
181.948	1.21237
179.822	1.21738
177.24	1.2225
174.833	1.22738
172.855	1.2325
170.433	1.2375
168.752	1.2425
167.249	1.2475
164.911	1.2525
163.468	1.2575
162.562	1.2625
161.351	1.2675
160.692	1.2725
159.602	1.2775
158.589	1.2825
157.35	1.2875
156.509	1.2925
156.045	1.2975
155.49	1.3025
155.168	1.3075
154.809	1.3125
153.89	1.3175
152.765	1.3225
150.986	1.3275
149.822	1.3325
148.579	1.3375
147.012	1.3425
144.917	1.3475
142.568	1.3525
140.94	1.3575
138.839	1.3625
137.039	1.3675
135.496	1.37262
132.525	1.3775
129.394	1.38262
125.035	1.38763
121.565	1.39262
